id,latitude,longitude,event_type,description,update_at
157,-17.38,-72.65,Sismo,"Magnitud: 4.0, Referencia: 78 km al SO de Mollendo, Islay - Arequipa",2024-02-04 20:21:19
158,-11.9,-77.37,Sismo,"Magnitud: 3.4, Referencia: 27 km al SO de Ancon, Lima - Lima",2024-02-05 09:07:00
159,-10.44,-75.18,Sismo,"Magnitud: 4.0, Referencia: 28 km al SO de Puerto Bermudez, Oxapampa - Pasco",2024-02-05 17:51:19
160,-8.74,-74.35,Sismo,"Magnitud: 4.0, Referencia: 46 km al SE de Pucallpa, Coronel Portillo - Ucayali",2024-02-05 22:53:16
161,-13.93,-76.08,Sismo,"Magnitud: 4.2, Referencia: 28 km al SE de Pisco, Pisco - Ica",2024-02-06 03:12:16
162,-15.78,-71.74,Sismo,"Magnitud: 3.9, Referencia: 16 km al S de Maca, Caylloma - Arequipa",2024-02-06 09:27:16
163,-12.61,-76.73,Sismo,"Magnitud: 3.6, Referencia: 11 km al S de Chilca, Cañete - Lima",2024-02-06 08:14:16
164,-15.66,-74.56,Sismo,"Magnitud: 4.5, Referencia: 4 km al O de Yauca, Caraveli - Arequipa",2024-02-06 11:11:16
165,-7.78,-80.26,Sismo,"Magnitud: 4.0, Referencia: 92 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",2024-02-07 01:17:16
166,-15.83,-71.75,Sismo,"Magnitud: 4.0, Referencia: 21 km al S de Maca, Caylloma - Arequipa",2024-02-07 06:39:16
167,-15.82,-71.74,Sismo,"Magnitud: 3.6, Referencia: 20 km al S de Maca, Caylloma - Arequipa",2024-02-07 06:19:16
168,-12.5,-76.77,Sismo,"Magnitud: 3.5, Referencia: 3 km al O de Chilca, Cañete - Lima",2024-02-07 08:13:16
169,-15.84,-71.75,Sismo,"Magnitud: 3.6, Referencia: 22 km al S de Maca, Caylloma - Arequipa",2024-02-08 10:06:16
170,-6.49,-75.16,Sismo,"Magnitud: 4.0, Referencia: 80 km al N de Pampa Hermosa, Ucayali - Loreto",2024-02-09 18:31:16
171,-16.12,-72.79,Sismo,"Magnitud: 4.0, Referencia: 33 km al O de Aplao, Castilla - Arequipa",2024-02-09 20:57:12
172,-18.0,-73.25,Sismo,"Magnitud: 4.6, Referencia: 164 km al S de Camana, Camana - Arequipa",2024-02-09 22:23:21
